majr,desc,cip
EEE1,Electrical Engineering,141001
EGM1,Mechanical Engineering,141901
ELCL,Comm Arts & Lit (5-8),131305
ELDI,Community Education Director,130499
ELED,Elementary Education (K-6),131202
ELEM,Elementary Education (K-6),131202
ELFR,French (K-8),131325
ELGR,German (K-8),131326
ELMA,Mathematics (5-8),131311
ELPL,Principal K-12 Licensure,130408
ELPR,Principal K-12,130408
ELRN,E-Learning,139999
ELSI,Science (5-8),131316
ELSP,Spanish (K-8),131330
ELSS,Social Studies (5-8),131318
ELSU,Superintendant Administration,130411
ELWL,World Lang & Culture (K-8),131399
EMSE,"Elem, Middle & Secondary Ed",131206
EMSY,Embedded Systems,151299
EN32,Liberal Arts - Engineering,309999
ENCT,Teaching College English,131305
ENED,Engineering Education,149999
ENGL,English,230101
ENGR,General Engineering,140102
ENPW,English - Professional Writing,231303
ENSE,English - Teacher Ed (5-12),131305
ENV1,Environmental Studies-Nat Sci,30104
ENV2,Environmental Studies-Soc Sci,30103
ENV3,Environ Studies-Humanities,30103
ENV4,Environmental Std-Business,30103
ENVR,Environmental Studies,30103
ENWR,English - Creative Writing,231302
ESCB,Environmental Sci (Biology),30104
ESCC,Environmental Sci (Chemistry),30104
ESCG,Environmental Sci (Geoscience),30104
ESEA,Educational Leadership & Admin,130401
ESEE,Special Educ Exceptionalities,131001
ESFR,French (K-12),131325
ESGE,Exception Spec & Gifted Educ,1310
ESGR,German (K-12),131326
ESLE,ESL License Endorsement,131401
ESLL,English as Second Lang. (K-12),131401
ESME,K-12 Music Education,131312
ESPE,K-12 Teaching Phy. Ed.,131314
ESPH,K-12 Phy Ed/ 5-12 & Hlth Ed,131314
ESSL,Superintendent Licensure,130411
ESSP,Spanish (K-12),131330
ESSU,Superintendent,130411
ESTA,K-12 Teaching Theater,131324
ESWL,K-12 World Lang. & Cultures,131399
EVCI,Evening Mba (Ci),520201
EXMB,Executive MBA,520201
EXSC,Exercise Science,512207
FAST,Family Studies,190704
FRAN,Franchising Management,520702
FREI,Int'l Business - French,160901
FREL,French - Literary Studies,160901
FREN,French,160901
FSTD,Film Studies,500601
FTMB,Business Administration,520201
GECW,Creative Writing & Publishing,231302
GEIS,Geographical Info Systems,450701
GENL,Gen Studies - Undeclrd/Undecd,240102
GEO1,Geology (BS),400601
GEOG,Geography,450701
GEOL,Geology,400601
GERI,Int'l Business - German,160501
GERL,German - Literary Studies,160501
GERM,German,160501
GGIS,Geography - Geo Info Sys (GIS),450701
GKLS,Literary Studies - Greek,160104
GREK,Greek,161202
HCAN,Healthcare Analytics,110103
HCIN,Health Care Innovation,510701
HCLL,Hisp&Latin Amer Lang/Lit/Ling,160908
HCMB,Health Care,520299
HCMG,Health Care Management,520299
HCMS,Health Care Communication,90905
HIST,History,540101
HLED,Health Ed--Non-Licensure,512207
HLTC,Community Health Education,512207
HRCD,Human Resource/Career Dev,521001
HRCO,Human Resource/Compensation,521001
HREB,Human Resource/Emp Benefits,521001
HRGN,Human Resource/Generalist,521001
HRIN,Intl Human Resource Mgmt,521001
HRLW,Human Resource Law,521001
HROD,Human Resource/Org Development,521001
HRTR,Human Resource/Training,521001
HUMR,Human Resources Management,521001
INCO,Internal Communication,529999
IND2,Individualized,240199
INDV,Individualized,240199
INFC,Intl Finance,520806
INHR,Intl Human Resources,521001
INID,Intl Interdisciplinary,521101
INIM,Master of International Mgmt,521101
INMC,Intl Managerial Comm,521101
INMF,Manufacture Mgmt Concentration,521101
INMK,Intl Marketing,521101
INSW,Software & Info Technology,110103
INTB,International Business,521101
INTE,Intl Studies - Economics,450601
INTH,Intl Studies - History,540101
INTL,International Management,521101
INTP,Intl Studies - Pol Sci,450901
INTS,International Studies,450901
IOTH,Internet of Things,110103
JAPN,Japanese,160302
JDMB,Joint MBA/JD Program,220205
JMCI,JD/MBA Management (CI),220205
JMPB,Jd/Mba Management (Pb),220205
JOAD,Journalism - Advertising,90401
JOBR,Journalism - Broadcast,90402
JOET,Journalism - Print,90401
JOMS,Journalism - Media Studies,90102
JOPR,Journalism - Public Relations,90401
JOUR,Journalism,90401
JOVC,Journalism-Visual Comm,90401
JPCT,Justice&Peace-Conflict Transfm,300501
JPPE,Peace Engineering,300501
